Year,Mon,Day,Jday,Hr,Min,Rain[mm/h],Month+year,Lat,Lon
2015,1,1,1,17,25,3.05,1/2015,47.35902,-123.99142
2015,1,1,1,17,26,3.05,1/2015,47.35902,-123.99142
2015,1,1,1,17,27,3.05,1/2015,47.35902,-123.99142
2015,1,1,1,17,28,3.05,1/2015,47.35902,-123.99142
2015,1,1,1,17,29,3.05,1/2015,47.35902,-123.99142
2015,1,2,2,19,54,3.05,1/2015,47.35902,-123.99142
2015,1,2,2,19,55,3.05,1/2015,47.35902,-123.99142
2015,1,2,2,19,56,3.05,1/2015,47.35902,-123.99142
2015,1,2,2,19,57,3.05,1/2015,47.35902,-123.99142
2015,1,2,2,19,58,3.05,1/2015,47.35902,-123.99142
2015,1,2,2,20,59,3.05,1/2015,47.35902,-123.99142
2015,1,2,2,21,0,3.05,1/2015,47.35902,-123.99142
2015,1,2,2,21,1,3.05,1/2015,47.35902,-123.99142
2015,1,2,2,21,2,3.05,1/2015,47.35902,-123.99142
2015,1,2,2,21,3,3.05,1/2015,47.35902,-123.99142
2015,1,2,2,21,31,3.05,1/2015,47.35902,-123.99142
2015,1,2,2,21,32,3.05,1/2015,47.35902,-123.99142
2015,1,2,2,21,33,3.05,1/2015,47.35902,-123.99142
2015,1,2,2,21,34,3.05,1/2015,47.35902,-123.99142
2015,1,2,2,21,35,3.05,1/2015,47.35902,-123.99142
2015,1,2,2,22,3,1.04,1/2015,47.35902,-123.99142
2015,1,2,2,22,4,1.04,1/2015,47.35902,-123.99142
2015,1,2,2,22,5,1.04,1/2015,47.35902,-123.99142
2015,1,2,2,22,6,1.03,1/2015,47.35902,-123.99142
2015,1,2,2,22,7,1.03,1/2015,47.35902,-123.99142
2015,1,2,2,22,8,1.03,1/2015,47.35902,-123.99142
2015,1,2,2,22,9,1.03,1/2015,47.35902,-123.99142
2015,1,2,2,22,10,1.03,1/2015,47.35902,-123.99142
2015,1,2,2,22,11,1.03,1/2015,47.35902,-123.99142
2015,1,2,2,22,12,1.03,1/2015,47.35902,-123.99142
2015,1,2,2,22,13,1.03,1/2015,47.35902,-123.99142
2015,1,2,2,22,14,1.04,1/2015,47.35902,-123.99142
2015,1,2,2,22,15,1.04,1/2015,47.35902,-123.99142
2015,1,2,2,22,16,1.04,1/2015,47.35902,-123.99142
2015,1,2,2,22,17,1.05,1/2015,47.35902,-123.99142
2015,1,2,2,22,18,1.05,1/2015,47.35902,-123.99142
2015,1,2,2,22,19,1.06,1/2015,47.35902,-123.99142
2015,1,2,2,22,20,1.07,1/2015,47.35902,-123.99142
2015,1,2,2,22,21,1.08,1/2015,47.35902,-123.99142
2015,1,2,2,22,22,1.08,1/2015,47.35902,-123.99142
2015,1,2,2,22,23,1.09,1/2015,47.35902,-123.99142
2015,1,2,2,22,24,1.1,1/2015,47.35902,-123.99142
2015,1,2,2,22,25,1.11,1/2015,47.35902,-123.99142
2015,1,2,2,22,26,1.12,1/2015,47.35902,-123.99142
2015,1,2,2,22,27,1.13,1/2015,47.35902,-123.99142
2015,1,2,2,22,28,1.13,1/2015,47.35902,-123.99142
