Year,Mon,Day,Jday,Hr,Min,Rain[mm/h],Lat,Lon
2016,1,5,5,6,48,3.05,47.35996,-123.99303
2016,1,5,5,6,49,3.05,47.35996,-123.99303
2016,1,5,5,6,50,3.05,47.35996,-123.99303
2016,1,5,5,6,51,3.05,47.35996,-123.99303
2016,1,5,5,6,52,3.05,47.35996,-123.99303
2016,1,5,5,13,37,3.05,47.35996,-123.99303
2016,1,5,5,13,38,3.05,47.35996,-123.99303
2016,1,5,5,13,39,3.05,47.35996,-123.99303
2016,1,5,5,13,40,3.05,47.35996,-123.99303
2016,1,5,5,13,41,3.05,47.35996,-123.99303
2016,1,5,5,14,7,3.05,47.35996,-123.99303
2016,1,5,5,14,8,3.05,47.35996,-123.99303
2016,1,5,5,14,9,3.05,47.35996,-123.99303
2016,1,5,5,14,10,3.05,47.35996,-123.99303
2016,1,5,5,14,11,3.05,47.35996,-123.99303
2016,1,5,5,14,33,3.05,47.35996,-123.99303
2016,1,5,5,14,34,3.05,47.35996,-123.99303
2016,1,5,5,14,35,3.05,47.35996,-123.99303
2016,1,5,5,14,36,3.05,47.35996,-123.99303
2016,1,5,5,14,37,3.05,47.35996,-123.99303
2016,1,5,5,14,50,3.05,47.35996,-123.99303
2016,1,5,5,14,51,3.05,47.35996,-123.99303
2016,1,5,5,14,52,3.05,47.35996,-123.99303
2016,1,5,5,14,53,3.05,47.35996,-123.99303
2016,1,5,5,14,54,3.05,47.35996,-123.99303
2016,1,5,5,15,52,3.05,47.35996,-123.99303
2016,1,5,5,15,53,3.05,47.35996,-123.99303
2016,1,5,5,15,54,3.05,47.35996,-123.99303
2016,1,5,5,15,55,3.05,47.35996,-123.99303
2016,1,5,5,15,56,3.05,47.35996,-123.99303
2016,1,5,5,16,51,1.13,47.35994,-123.99289
2016,1,5,5,16,52,1.13,47.35994,-123.99289
2016,1,5,5,16,53,1.13,47.35994,-123.99289
2016,1,5,5,16,54,1.13,47.35994,-123.99289
2016,1,5,5,16,55,1.13,47.35994,-123.99289
2016,1,5,5,16,56,1.13,47.35994,-123.99289
2016,1,5,5,16,57,1.13,47.35994,-123.99289
2016,1,5,5,16,58,1.13,47.35994,-123.99289
2016,1,5,5,16,59,1.13,47.35994,-123.99289
2016,1,5,5,17,0,1.13,47.35994,-123.99289
2016,1,5,5,17,1,1.13,47.35994,-123.99289
2016,1,5,5,17,2,1.13,47.35994,-123.99289
2016,1,5,5,17,3,1.13,47.35994,-123.99289
2016,1,5,5,17,4,1.13,47.35994,-123.99289
2016,1,5,5,17,5,1.13,47.35994,-123.99289
2016,1,5,5,17,6,1.13,47.35994,-123.99289
2016,1,5,5,17,7,1.13,47.35994,-123.99289
2016,1,5,5,17,8,1.13,47.35994,-123.99289
2016,1,5,5,17,9,1.13,47.35994,-123.99289
2016,1,5,5,17,10,1.13,47.35994,-123.99289
2016,1,5,5,17,11,1.13,47.35994,-123.99289
2016,1,5,5,17,12,1.13,47.35994,-123.99289
2016,1,5,5,17,13,1.13,47.35994,-123.99289
2016,1,5,5,17,14,1.13,47.35994,-123.99289
2016,1,5,5,17,15,1.13,47.35994,-123.99289
2016,1,5,5,17,16,1.13,47.35994,-123.99289
2016,1,5,5,17,17,1.13,47.35994,-123.99289
2016,1,5,5,17,30,1.53,47.35994,-123.99289
2016,1,5,5,17,31,1.43,47.35994,-123.99289
2016,1,5,5,17,32,1.35,47.35994,-123.99289
2016,1,5,5,17,33,1.3,47.35994,-123.99289
2016,1,5,5,17,34,1.26,47.35994,-123.99289
2016,1,5,5,17,35,1.24,47.35994,-123.99289
2016,1,5,5,17,36,1.24,47.35994,-123.99289
2016,1,5,5,17,37,1.26,47.35994,-123.99289
2016,1,5,5,17,38,1.3,47.35994,-123.99289
